I1209 17:08:23.720015    1583 serve.go:43] cloudcode_cli (Nov 13 2024 17:36:46 -0800, cl:696214359 baseline:694242577)
E1209 17:09:23.378962    1583 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
E1209 17:09:23.378976    1583 retention.go:642] Failed to get offsets at range due to: start offset: invalid column number
W1209 17:09:23.378995    1583 retention.go:169] Could not get offsets for range in document. range: &{{29 116} {29 118}}, error: invalid column number
W1209 17:09:23.379015    1583 retention.go:169] Could not get offsets for range in document. range: &{{30 12} {31 28}}, error: invalid column number
W1209 17:09:23.379022    1583 retention.go:169] Could not get offsets for range in document. range: &{{41 121} {42 28}}, error: invalid column number
W1209 17:09:23.379028    1583 retention.go:169] Could not get offsets for range in document. range: &{{42 238} {44 59}}, error: invalid column number
W1209 17:09:23.379034    1583 retention.go:169] Could not get offsets for range in document. range: &{{50 173} {50 238}}, error: invalid column number
W1209 17:09:23.379040    1583 retention.go:169] Could not get offsets for range in document. range: &{{54 139} {56 13}}, error: invalid column number
W1209 17:09:23.379062    1583 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I1209 17:09:23.843044    1583 life_cycle.go:294] codeReportEvery: recomputing codereport metric
E1209 17:09:53.405113    1583 retention.go:642] Failed to get offsets at range due to: end offset: invalid column number
E1209 17:09:53.405166    1583 retention.go:642] Failed to get offsets at range due to: end offset: invalid column number
W1209 17:09:53.405195    1583 retention.go:169] Could not get offsets for range in document. range: &{{4 0} {4 13}}, error: invalid column number
W1209 17:09:53.405218    1583 retention.go:169] Could not get offsets for range in document. range: &{{5 18} {30 40}}, error: invalid column number
I1209 17:10:23.843243    1583 life_cycle.go:294] codeReportEvery: recomputing codereport metric
I1209 17:11:23.844026    1583 life_cycle.go:294] codeReportEvery: recomputing codereport metric
I1209 17:11:24.320805    1583 handler.go:159] cancel was requested for: 29, needs to be canceled: false
I1209 17:11:24.320834    1583 handler.go:163] cancel requested for 29 but not found
